# m	Runtime(us)	stddev(us)
1	3306.25	257.7560620043688
2	3121.75	152.75040916475479
3	3131.75	85.75947469521954
4	3533.75	2.277608394786075
5	2975.0	141.0
6	3048.5	63.5
7	3255.25	299.75020850701674
8	2695.5	241.86411474214194
9	2978.5	58.5170915203413
10	3180.75	117.75265389790584
